iteration = 1 , objective = 0.6154745696869861, inputs = [1.0, 1.1], constraints = [1.6740215495228672]
iteration = 1 , objective = 0.6438030554248224, inputs = [0.9, 1.0], constraints = [1.6106277539713814]
iteration = 2 , objective = 0.6438030565589332, inputs = [0.9000000149011612, 1.0], constraints = [1.6106277276349015]
iteration = 3 , objective = 0.6438030554309983, inputs = [0.9, 1.0000000149011612], constraints = [1.610627718521614]
iteration = 4 , objective = 0.643803055427473, inputs = [0.9, 1.0], constraints = [1.6106277536298603]
iteration = 5 , objective = 0.643803056558979, inputs = [0.9000000149011612, 1.0], constraints = [1.6106277276347165]
iteration = 6 , objective = 0.6438030554309983, inputs = [0.9, 1.0000000149011612], constraints = [1.610627718521614]
iteration = 7 , objective = 0.6438030554274723, inputs = [0.9, 1.0], constraints = [1.6106277536298623]
iteration = 8 , objective = 0.6438030565589855, inputs = [0.9000000149011612, 1.0], constraints = [1.6106277276346992]
iteration = 9 , objective = 0.6438030554310994, inputs = [0.9, 1.0000000149011612], constraints = [1.6106277185213531]
iteration = 1 , objective = 0.6482003740478954, inputs = [0.9, 0.9], constraints = [1.8266885507026431]
iteration = 2 , objective = 0.6440916793425983, inputs = [0.9, 1.025], constraints = [1.5504852078757003]
iteration = 3 , objective = 0.6473129155770184, inputs = [0.9, 1.15], constraints = [1.207943981721471]
iteration = 4 , objective = 0.6542802457061822, inputs = [0.9, 1.275], constraints = [0.7991202592719802]
iteration = 5 , objective = 0.6737433588109357, inputs = [0.9, 1.4], constraints = [0.3371389112515684]
iteration = 6 , objective = 0.6602713892924578, inputs = [1.0, 0.9], constraints = [1.6375972248557835]
iteration = 7 , objective = 0.6518985483747834, inputs = [1.0, 1.025], constraints = [1.378899451349273]
iteration = 8 , objective = 0.6504338807487787, inputs = [1.0, 1.15], constraints = [1.056555099849023]
iteration = 9 , objective = 0.6527336531727298, inputs = [1.0, 1.275], constraints = [0.6689574042914529]
iteration = 10 , objective = 0.6680774522894993, inputs = [1.0, 1.4], constraints = [0.22665920447885002]
iteration = 11 , objective = 0.6738111326471015, inputs = [1.1, 0.9], constraints = [1.4493208686036474]
iteration = 12 , objective = 0.6615946605031553, inputs = [1.1, 1.025], constraints = [1.206667000829228]
iteration = 13 , objective = 0.6559335469775535, inputs = [1.1, 1.15], constraints = [0.9030528681651104]
iteration = 14 , objective = 0.6539804806449668, inputs = [1.1, 1.275], constraints = [0.5352645043934592]
iteration = 15 , objective = 0.6654897494821315, inputs = [1.1, 1.4], constraints = [0.11167251819442423]
iteration = 16 , objective = 0.6884588216297991, inputs = [1.2, 0.9], constraints = [1.2628837422373809]
iteration = 17 , objective = 0.6727146077695637, inputs = [1.2, 1.025], constraints = [1.0350940141027178]
iteration = 18 , objective = 0.6632303682264181, inputs = [1.2, 1.15], constraints = [0.7490189176996775]
iteration = 19 , objective = 0.6573654036666899, inputs = [1.2, 1.275], constraints = [0.3997913536204061]
iteration = 20 , objective = 0.6653333544731315, inputs = [1.2, 1.4], constraints = [-0.00612032203427328]
iteration = 21 , objective = 0.7039623838544808, inputs = [1.3, 0.9], constraints = [1.0789291210403575]
iteration = 22 , objective = 0.6849328240676725, inputs = [1.3, 1.025], constraints = [0.8650828017867326]
iteration = 23 , objective = 0.6719158994470279, inputs = [1.3, 1.15], constraints = [0.5955009778457685]
iteration = 24 , objective = 0.6624146771776664, inputs = [1.3, 1.275], constraints = [0.26374542007092905]
iteration = 25 , objective = 0.6671040952269155, inputs = [1.3, 1.4], constraints = [-0.1254529159610709]
iteration = 1 , objective = 0.7138782385037965, inputs = [0.9, 1.0], constraints = [1.3616474826608054]
iteration = 1 , objective = 0.7138782385037965, inputs = [0.9, 1.0], constraints = [1.3616474826608054]
iteration = 1 , objective = 0.7099579566800807, inputs = [0.9, 0.9], constraints = [1.5944832957112747]
iteration = 2 , objective = 0.7163291344726967, inputs = [0.9, 1.025], constraints = [1.2973269227581166]
iteration = 3 , objective = 0.7313000688755353, inputs = [0.9, 1.15], constraints = [0.9333835892127809]
iteration = 4 , objective = 0.7513507830057344, inputs = [0.9, 1.275], constraints = [0.5033491412955684]
iteration = 5 , objective = 0.7843120642445247, inputs = [0.9, 1.4], constraints = [0.022502338611424214]
iteration = 6 , objective = 0.7183941274852841, inputs = [1.0, 0.9], constraints = [1.4214228751774582]
iteration = 7 , objective = 0.7201057637185412, inputs = [1.0, 1.025], constraints = [1.1424960745906805]
iteration = 8 , objective = 0.7299775266217752, inputs = [1.0, 1.15], constraints = [0.799359119418999]
iteration = 9 , objective = 0.7449167732705922, inputs = [1.0, 1.275], constraints = [0.391055693816563]
iteration = 10 , objective = 0.7733049764283736, inputs = [1.0, 1.4], constraints = [-0.06972665204154853]
iteration = 11 , objective = 0.7287375501862879, inputs = [1.1, 0.9], constraints = [1.2473391996080956]
iteration = 12 , objective = 0.726251884047471, inputs = [1.1, 1.025], constraints = [0.9851268541528287]
iteration = 13 , objective = 0.7315555565523202, inputs = [1.1, 1.15], constraints = [0.6612929887101987]
iteration = 14 , objective = 0.7418455971762306, inputs = [1.1, 1.275], constraints = [0.2732747480117606]
iteration = 15 , objective = 0.7660061348045755, inputs = [1.1, 1.4], constraints = [-0.16846772741195215]
iteration = 16 , objective = 0.7405411083849547, inputs = [1.2, 0.9], constraints = [1.073577586944094]
iteration = 17 , objective = 0.7342083687678823, inputs = [1.2, 1.025], constraints = [0.8268534228768076]
iteration = 18 , objective = 0.7353515987982908, inputs = [1.2, 1.15], constraints = [0.5210986744872534]
iteration = 19 , objective = 0.7413715096499124, inputs = [1.2, 1.275], constraints = [0.15209391384949755]
iteration = 20 , objective = 0.7616384928837499, inputs = [1.2, 1.4], constraints = [-0.2716530416036724]
iteration = 21 , objective = 0.7534885776340001, inputs = [1.3, 0.9], constraints = [0.9010204759799696]
iteration = 22 , objective = 0.7435809244838507, inputs = [1.3, 1.025], constraints = [0.668819652031127]
iteration = 23 , objective = 0.7408820690371016, inputs = [1.3, 1.15], constraints = [0.38007221546613057]
iteration = 24 , objective = 0.7429394810444675, inputs = [1.3, 1.275], constraints = [0.028971430645887787]
iteration = 25 , objective = 0.7596069817336655, inputs = [1.3, 1.4], constraints = [-0.3777560190821901]
iteration = 1 , objective = 0.7099579566800807, inputs = [0.9, 0.9], constraints = [1.5944832957112747]
iteration = 1 , objective = 0.7411965789148686, inputs = [0.2, 0.5], constraints = [3.3733864467000916]
iteration = 2 , objective = 0.780555199840953, inputs = [0.2, 0.725], constraints = [2.8177378002781603]
iteration = 3 , objective = 0.8384905525850292, inputs = [0.2, 0.95], constraints = [2.1330122219809424]
iteration = 4 , objective = 0.8945282379059186, inputs = [0.2, 1.175], constraints = [1.340373764216727]
iteration = 5 , objective = 0.9875091940905848, inputs = [0.2, 1.4], constraints = [0.3018134044325256]
iteration = 6 , objective = 0.7087301934574942, inputs = [0.475, 0.5], constraints = [3.080238242982963]
iteration = 7 , objective = 0.6957308766797818, inputs = [0.475, 0.725], constraints = [2.690973233664367]
iteration = 8 , objective = 0.732370945144524, inputs = [0.475, 0.95], constraints = [2.0821767099842408]
iteration = 9 , objective = 0.8103647619481853, inputs = [0.475, 1.175], constraints = [1.253703018757201]
iteration = 10 , objective = 0.8866313921330984, inputs = [0.475, 1.4], constraints = [0.2911092818511955]
iteration = 11 , objective = 0.7541407346431821, inputs = [0.75, 0.5], constraints = [2.470290698785012]
iteration = 12 , objective = 0.7066858901892549, inputs = [0.75, 0.725], constraints = [2.202431589906282]
iteration = 13 , objective = 0.7064237973978008, inputs = [0.75, 0.95], constraints = [1.7234525592803585]
iteration = 14 , objective = 0.7456460516651088, inputs = [0.75, 1.175], constraints = [1.0311689826808064]
iteration = 15 , objective = 0.8098865019161021, inputs = [0.75, 1.4], constraints = [0.1426635901353796]
iteration = 16 , objective = 0.8169813617921107, inputs = [1.025, 0.5], constraints = [1.8377908590251535]
iteration = 17 , objective = 0.7440307142782738, inputs = [1.025, 0.725], constraints = [1.6613023864248382]
iteration = 18 , objective = 0.7193448276705545, inputs = [1.025, 0.95], constraints = [1.2752702364898696]
iteration = 19 , objective = 0.7316494782739719, inputs = [1.025, 1.175], constraints = [0.6890424481673605]
iteration = 20 , objective = 0.7711664040523363, inputs = [1.025, 1.4], constraints = [-0.09389272984709673]
iteration = 21 , objective = 0.8867255775910009, inputs = [1.3, 0.5], constraints = [1.2266253215553293]
iteration = 22 , objective = 0.7918997740521597, inputs = [1.3, 0.725], constraints = [1.1261837799045986]
iteration = 23 , objective = 0.7477984566074171, inputs = [1.3, 0.95], constraints = [0.8151529058998045]
iteration = 24 , objective = 0.7399766529272304, inputs = [1.3, 1.175], constraints = [0.31460683433535463]
iteration = 25 , objective = 0.7596069817489464, inputs = [1.3, 1.4], constraints = [-0.37775601895229854]
iteration = 1 , objective = 0.7398628525611748, inputs = [0.2, 0.5], constraints = [3.3774962150147907]
iteration = 2 , objective = 0.7793543273408381, inputs = [0.2, 0.725], constraints = [2.82132697467138]
iteration = 3 , objective = 0.8376055548459823, inputs = [0.2, 0.95], constraints = [2.1355832468728253]
iteration = 4 , objective = 0.8940045782648697, inputs = [0.2, 1.175], constraints = [1.3418647688159961]
iteration = 5 , objective = 0.9870144400015052, inputs = [0.2, 1.4], constraints = [0.30311213867806946]
iteration = 6 , objective = 0.7077150851476887, inputs = [0.475, 0.5], constraints = [3.0829800795786144]
iteration = 7 , objective = 0.6947693609993767, inputs = [0.475, 0.725], constraints = [2.6934763353333526]
iteration = 8 , objective = 0.7316637959662657, inputs = [0.475, 0.95], constraints = [2.083900813291364]
iteration = 9 , objective = 0.8098906193228868, inputs = [0.475, 1.175], constraints = [1.254749176706277]
iteration = 10 , objective = 0.8860504898551029, inputs = [0.475, 1.4], constraints = [0.29233879818172603]
iteration = 11 , objective = 0.7534264806566127, inputs = [0.75, 0.5], constraints = [2.472056458640648]
iteration = 12 , objective = 0.7059068717691327, inputs = [0.75, 0.725], constraints = [2.2043126190555418]
iteration = 13 , objective = 0.7058091815709522, inputs = [0.75, 0.95], constraints = [1.724832399541262]
iteration = 14 , objective = 0.7452217007010324, inputs = [0.75, 1.175], constraints = [1.0320121951684196]
iteration = 15 , objective = 0.8093722906470845, inputs = [0.75, 1.4], constraints = [0.1436629283210857]
iteration = 16 , objective = 0.8166066744384137, inputs = [1.025, 0.5], constraints = [1.8385777292337502]
iteration = 17 , objective = 0.7434474775310395, inputs = [1.025, 0.725], constraints = [1.6626058583524355]
iteration = 18 , objective = 0.7188263140844582, inputs = [1.025, 0.95], constraints = [1.2763580699032409]
iteration = 19 , objective = 0.7312729184950367, inputs = [1.025, 1.175], constraints = [0.6897371618074708]
iteration = 20 , objective = 0.7706955699135019, inputs = [1.025, 1.4], constraints = [-0.09302723431228942]
iteration = 21 , objective = 0.8867380961472198, inputs = [1.3, 0.5], constraints = [1.2263820122344575]
iteration = 22 , objective = 0.7915348320768353, inputs = [1.3, 0.725], constraints = [1.1269016245564112]
iteration = 23 , objective = 0.7473857106553936, inputs = [1.3, 0.95], constraints = [0.8159569331567496]
iteration = 24 , objective = 0.739653991390433, inputs = [1.3, 1.175], constraints = [0.31516154465481544]
iteration = 25 , objective = 0.7591839796771804, inputs = [1.3, 1.4], constraints = [-0.3770142001622751]
iteration = 1 , objective = 0.7398628525611748, inputs = [0.2, 0.5], constraints = [3.3774962150147907]
iteration = 2 , objective = 0.7793543273408381, inputs = [0.2, 0.725], constraints = [2.82132697467138]
iteration = 3 , objective = 0.8376055548459823, inputs = [0.2, 0.95], constraints = [2.1355832468728253]
iteration = 4 , objective = 0.8940045782648697, inputs = [0.2, 1.175], constraints = [1.3418647688159961]
iteration = 5 , objective = 0.9870144400015052, inputs = [0.2, 1.4], constraints = [0.30311213867806946]
iteration = 6 , objective = 0.7077150851476887, inputs = [0.475, 0.5], constraints = [3.0829800795786144]
iteration = 7 , objective = 0.6947693609993767, inputs = [0.475, 0.725], constraints = [2.6934763353333526]
iteration = 8 , objective = 0.7316637959662657, inputs = [0.475, 0.95], constraints = [2.083900813291364]
iteration = 9 , objective = 0.8098906193228868, inputs = [0.475, 1.175], constraints = [1.254749176706277]
iteration = 10 , objective = 0.8860504898551029, inputs = [0.475, 1.4], constraints = [0.29233879818172603]
iteration = 11 , objective = 0.7534264806566127, inputs = [0.75, 0.5], constraints = [2.472056458640648]
iteration = 12 , objective = 0.7059068717691327, inputs = [0.75, 0.725], constraints = [2.2043126190555418]
iteration = 13 , objective = 0.7058091815709522, inputs = [0.75, 0.95], constraints = [1.724832399541262]
iteration = 14 , objective = 0.7452217007010324, inputs = [0.75, 1.175], constraints = [1.0320121951684196]
iteration = 15 , objective = 0.8093722906470845, inputs = [0.75, 1.4], constraints = [0.1436629283210857]
iteration = 16 , objective = 0.8166066744384137, inputs = [1.025, 0.5], constraints = [1.8385777292337502]
iteration = 17 , objective = 0.7434474775310395, inputs = [1.025, 0.725], constraints = [1.6626058583524355]
iteration = 18 , objective = 0.7188263140844582, inputs = [1.025, 0.95], constraints = [1.2763580699032409]
iteration = 19 , objective = 0.7312729184950367, inputs = [1.025, 1.175], constraints = [0.6897371618074708]
iteration = 20 , objective = 0.7706955699135019, inputs = [1.025, 1.4], constraints = [-0.09302723431228942]
iteration = 21 , objective = 0.8867380961472198, inputs = [1.3, 0.5], constraints = [1.2263820122344575]
iteration = 22 , objective = 0.7915348320768353, inputs = [1.3, 0.725], constraints = [1.1269016245564112]
iteration = 23 , objective = 0.7473857106553936, inputs = [1.3, 0.95], constraints = [0.8159569331567496]
iteration = 24 , objective = 0.739653991390433, inputs = [1.3, 1.175], constraints = [0.31516154465481544]
iteration = 25 , objective = 0.7591839796771804, inputs = [1.3, 1.4], constraints = [-0.3770142001622751]
iteration = 1 , objective = 0.7398628525611748, inputs = [0.2, 0.5], constraints = [3.3774962150147907]
iteration = 2 , objective = 0.7793543273408381, inputs = [0.2, 0.725], constraints = [2.82132697467138]
iteration = 3 , objective = 0.8376055548459823, inputs = [0.2, 0.95], constraints = [2.1355832468728253]
iteration = 4 , objective = 0.8940045782648697, inputs = [0.2, 1.175], constraints = [1.3418647688159961]
iteration = 5 , objective = 0.9870144400015052, inputs = [0.2, 1.4], constraints = [0.30311213867806946]
iteration = 6 , objective = 0.7077150851476887, inputs = [0.475, 0.5], constraints = [3.0829800795786144]
iteration = 7 , objective = 0.6947693609993767, inputs = [0.475, 0.725], constraints = [2.6934763353333526]
iteration = 8 , objective = 0.7316637959662657, inputs = [0.475, 0.95], constraints = [2.083900813291364]
iteration = 9 , objective = 0.8098906193228868, inputs = [0.475, 1.175], constraints = [1.254749176706277]
iteration = 10 , objective = 0.8860504898551029, inputs = [0.475, 1.4], constraints = [0.29233879818172603]
iteration = 11 , objective = 0.7534264806566127, inputs = [0.75, 0.5], constraints = [2.472056458640648]
iteration = 12 , objective = 0.7059068717691327, inputs = [0.75, 0.725], constraints = [2.2043126190555418]
iteration = 13 , objective = 0.7058091815709522, inputs = [0.75, 0.95], constraints = [1.724832399541262]
iteration = 14 , objective = 0.7452217007010324, inputs = [0.75, 1.175], constraints = [1.0320121951684196]
iteration = 15 , objective = 0.8093722906470845, inputs = [0.75, 1.4], constraints = [0.1436629283210857]
iteration = 16 , objective = 0.8166066744384137, inputs = [1.025, 0.5], constraints = [1.8385777292337502]
iteration = 17 , objective = 0.7434474775310395, inputs = [1.025, 0.725], constraints = [1.6626058583524355]
iteration = 18 , objective = 0.7188263140844582, inputs = [1.025, 0.95], constraints = [1.2763580699032409]
iteration = 19 , objective = 0.7312729184950367, inputs = [1.025, 1.175], constraints = [0.6897371618074708]
iteration = 20 , objective = 0.7706955699135019, inputs = [1.025, 1.4], constraints = [-0.09302723431228942]
iteration = 21 , objective = 0.8867380961472198, inputs = [1.3, 0.5], constraints = [1.2263820122344575]
iteration = 22 , objective = 0.7915348320768353, inputs = [1.3, 0.725], constraints = [1.1269016245564112]
iteration = 23 , objective = 0.7473857106553936, inputs = [1.3, 0.95], constraints = [0.8159569331567496]
iteration = 24 , objective = 0.739653991390433, inputs = [1.3, 1.175], constraints = [0.31516154465481544]
iteration = 25 , objective = 0.7591839796771804, inputs = [1.3, 1.4], constraints = [-0.3770142001622751]
iteration = 1 , objective = 0.7133700314486974, inputs = [0.9, 1.0], constraints = [1.3627146116673101]
iteration = 2 , objective = 0.7133700319683732, inputs = [0.9000000149011612, 1.0], constraints = [1.3627145885473668]
iteration = 3 , objective = 0.7133700327631166, inputs = [0.9, 1.0000000149011612], constraints = [1.3627145742666436]
iteration = 4 , objective = 0.7133700314625246, inputs = [0.9, 1.0], constraints = [1.3627146119173172]
iteration = 5 , objective = 0.7133700319683703, inputs = [0.9000000149011612, 1.0], constraints = [1.362714588547211]
iteration = 6 , objective = 0.7133700327631027, inputs = [0.9, 1.0000000149011612], constraints = [1.3627145742666786]
iteration = 7 , objective = 0.7133700314625246, inputs = [0.9, 1.0], constraints = [1.3627146119173172]
iteration = 8 , objective = 0.7133700319683725, inputs = [0.9000000149011612, 1.0], constraints = [1.3627145885472052]
iteration = 9 , objective = 0.7133700327631144, inputs = [0.9, 1.0000000149011612], constraints = [1.3627145742666493]
iteration = 10 , objective = 0.7071062562265906, inputs = [0.8651251435279846, 0.9117908179759979], constraints = [1.629541553514702]
iteration = 11 , objective = 0.7071062570719711, inputs = [0.8651251584291458, 0.9117908179759979], constraints = [1.6295415489846314]
iteration = 12 , objective = 0.7071062564614571, inputs = [0.8651251435279846, 0.9117908328771591], constraints = [1.6295415226036232]
iteration = 13 , objective = 0.7071062561874416, inputs = [0.8651251435279846, 0.9117908179759979], constraints = [1.6295415559185806]
iteration = 14 , objective = 0.7071062570716705, inputs = [0.8651251584291458, 0.9117908179759979], constraints = [1.629541530727257]
iteration = 15 , objective = 0.7071062564614571, inputs = [0.8651251435279846, 0.9117908328771591], constraints = [1.6295415226036232]
iteration = 16 , objective = 0.7071062561874474, inputs = [0.8651251435279846, 0.9117908179759979], constraints = [1.6295415559185669]
iteration = 17 , objective = 0.7071062570716735, inputs = [0.8651251584291458, 0.9117908179759979], constraints = [1.6295415307272332]
iteration = 18 , objective = 0.7071062564614724, inputs = [0.8651251435279846, 0.9117908328771591], constraints = [1.6295415226035814]
iteration = 19 , objective = 0.7001305706182589, inputs = [0.7525877720369667, 0.8313372840815539], constraints = [1.9982834782584808]
iteration = 20 , objective = 0.7001305714705705, inputs = [0.7525877869381279, 0.8313372840815539], constraints = [1.9982834520416122]
iteration = 21 , objective = 0.7001305705039566, inputs = [0.7525877720369667, 0.8313372989827151], constraints = [1.9982834469164896]
iteration = 22 , objective = 0.7001305706194988, inputs = [0.7525877720369667, 0.8313372840815539], constraints = [1.9982834782547294]
iteration = 23 , objective = 0.7001305714705705, inputs = [0.7525877869381279, 0.8313372840815539], constraints = [1.9982834520416122]
iteration = 24 , objective = 0.7001305705039558, inputs = [0.7525877720369667, 0.8313372989827151], constraints = [1.9982834469164896]
iteration = 25 , objective = 0.7001305706195031, inputs = [0.7525877720369667, 0.8313372840815539], constraints = [1.9982834782547192]
iteration = 26 , objective = 0.7001305714705705, inputs = [0.7525877869381279, 0.8313372840815539], constraints = [1.9982834520416122]
iteration = 27 , objective = 0.7001305705039522, inputs = [0.7525877720369667, 0.8313372989827151], constraints = [1.9982834469165]
iteration = 28 , objective = 0.7130372903499956, inputs = [0.28119942223700084, 0.5736163093660438], constraints = [3.242256500892098]
iteration = 29 , objective = 0.6939822523679482, inputs = [0.5971751400454659, 0.7463689240935546], constraints = [2.4481326903055907]
iteration = 30 , objective = 0.6939822531752973, inputs = [0.5971751549466271, 0.7463689240935546], constraints = [2.4481326632744946]
iteration = 31 , objective = 0.693982252650617, inputs = [0.5971751400454659, 0.7463689389947158], constraints = [2.4481326587421224]
iteration = 32 , objective = 0.6939822527639924, inputs = [0.5971751400454659, 0.7463689240935546], constraints = [2.4481326892627138]
iteration = 33 , objective = 0.6939822531752973, inputs = [0.5971751549466271, 0.7463689240935546], constraints = [2.4481326632744946]
iteration = 34 , objective = 0.693982252650617, inputs = [0.5971751400454659, 0.7463689389947158], constraints = [2.4481326587421224]
iteration = 35 , objective = 0.6939822527639895, inputs = [0.5971751400454659, 0.7463689240935546], constraints = [2.448132689262722]
iteration = 36 , objective = 0.6939822531752979, inputs = [0.5971751549466271, 0.7463689240935546], constraints = [2.4481326632744906]
iteration = 37 , objective = 0.6939822526506177, inputs = [0.5971751400454659, 0.7463689389947158], constraints = [2.4481326587421224]
iteration = 38 , objective = 0.7398628525745066, inputs = [0.20000000000000168, 0.5000000000000009], constraints = [3.377496214712538]
iteration = 39 , objective = 0.6930478693595432, inputs = [0.5250051568094606, 0.7016016682183024], constraints = [2.6633582771407442]
iteration = 40 , objective = 0.6930478693964018, inputs = [0.5250051717106218, 0.7016016682183024], constraints = [2.6633582521413546]
iteration = 41 , objective = 0.6930478692243043, inputs = [0.5250051568094606, 0.7016016831194636], constraints = [2.6633582473528716]
iteration = 42 , objective = 0.6930478693138598, inputs = [0.5250051568094606, 0.7016016682183024], constraints = [2.6633582773688285]
iteration = 43 , objective = 0.6930478693964018, inputs = [0.5250051717106218, 0.7016016682183024], constraints = [2.6633582521413546]
iteration = 44 , objective = 0.693047869224313, inputs = [0.5250051568094606, 0.7016016831194636], constraints = [2.6633582473528477]
iteration = 45 , objective = 0.6930478693138553, inputs = [0.5250051568094606, 0.7016016682183024], constraints = [2.663358277368839]
iteration = 46 , objective = 0.6930478693964018, inputs = [0.5250051717106218, 0.7016016682183024], constraints = [2.6633582521413546]
iteration = 47 , objective = 0.693047869224313, inputs = [0.5250051568094606, 0.7016016831194636], constraints = [2.6633582473528477]
iteration = 48 , objective = 0.693032661508867, inputs = [0.5263690268383292, 0.7072089840099302], constraints = [2.649701497217737]
iteration = 49 , objective = 0.6930326615534672, inputs = [0.5263690417394904, 0.7072089840099302], constraints = [2.649701472127276]
iteration = 50 , objective = 0.6930326614861472, inputs = [0.5263690268383292, 0.7072089989110913], constraints = [2.649701466889868]
iteration = 51 , objective = 0.6930326615092163, inputs = [0.5263690268383292, 0.7072089840099302], constraints = [2.6497014972168484]
iteration = 52 , objective = 0.6930326615534672, inputs = [0.5263690417394904, 0.7072089840099302], constraints = [2.6497014721272736]
iteration = 53 , objective = 0.6930326614861486, inputs = [0.5263690268383292, 0.7072089989110913], constraints = [2.649701466889862]
iteration = 54 , objective = 0.6930326615092177, inputs = [0.5263690268383292, 0.7072089840099302], constraints = [2.649701497216844]
iteration = 55 , objective = 0.6930326615534672, inputs = [0.5263690417394904, 0.7072089840099302], constraints = [2.6497014721272736]
iteration = 56 , objective = 0.6930326614861486, inputs = [0.5263690268383292, 0.7072089989110913], constraints = [2.6497014668898644]
iteration = 57 , objective = 0.6930279097176768, inputs = [0.5236213558225778, 0.7079896485491637], constraints = [2.6527236229760196]
iteration = 58 , objective = 0.6930279097222476, inputs = [0.523621370723739, 0.7079896485491637], constraints = [2.652723598016413]
iteration = 59 , objective = 0.6930279097326478, inputs = [0.5236213558225778, 0.7079896634503249], constraints = [2.652723592508414]
iteration = 60 , objective = 0.6930279097179358, inputs = [0.5236213558225778, 0.7079896485491637], constraints = [2.652723622977534]
iteration = 61 , objective = 0.6930279097222476, inputs = [0.523621370723739, 0.7079896485491637], constraints = [2.652723598016413]
iteration = 62 , objective = 0.6930279097326478, inputs = [0.5236213558225778, 0.7079896634503249], constraints = [2.652723592508414]
iteration = 63 , objective = 0.6930279097179315, inputs = [0.5236213558225778, 0.7079896485491637], constraints = [2.6527236229775473]
iteration = 64 , objective = 0.6930279097222476, inputs = [0.523621370723739, 0.7079896485491637], constraints = [2.652723598016413]
iteration = 65 , objective = 0.6930279097326478, inputs = [0.5236213558225778, 0.7079896634503249], constraints = [2.652723592508414]
